Session_date,Directory,Error,Advisory,EPU session,EPU session date,Atlas,Instrument,AFIS/Accurate,Grid_type,I0 set,I0 min int,I0 max int,Hole (um),Space (um),Beam (um),Shots per hole,ShotID,Movie_dir,Movie_format,Movie_ext,Relion,Jobs,Processed,apix,Targeted_squares,Collected_squares,Average Foils per Square,Tilt,Total_EPU_mics,Total_movies,MotionCorr,Early_motion_mean,Early_motion_min,Early_motion_max,Late_motion_mean,Late_motion_min,Late_motion_max,Total_motion_mean,Total_motion_min,Total_motion_max,First_mic,First_cor,Last_mic,Last_cor,CtfFind,Ctf_min_A,Ctf_max_A,Picking,Pick_min,Pick_max,Ptcl_d_A,Particles,Extracted_mics,Box_px,Box_ang,Av_ptcls_per_mic,Std_ptcls_per_mic,Norm_av_ptcls_per_mic,Norm_std_ptcls_per_mic,DBSCAN_eps:,Mean_ptcls_pct_clustered,Std_ptcls_pct_clustered,Class2D_requested,Class2D_results,Mask_ang,Class2D_prob_max,Class2D_prob_min,Class2D_res_max,Class2D_res_min,Class2D_res_mean,Class2D_res_mode,Class3D_requested,Class3D_results,Report path,Session report,Processed report,epuVersion
03/02/2023,anonymised,None,0,anonymised,03/02/2023 13:52,Sample4,Krios4,AFIS,HoleyCarbon,TRUE,1,3,1.2,1.3,0.7,3,"['2803778', '2803790', '2803793', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,4,Y,0.651,3,3,317,0,2000,2003,2003,3.18,0,26.16,12.53,0,60.56,15.71,0,66.14,ND,ND,ND,ND,2003,2.57,25,cryolo,170,230,176.476,25739,1996,424,276.024,13,13,0.05,0.04,,0.12,0.17,Y,Y,176.476,1,0.01,27.6,14.53,18,15,Y,Y,anonymised,anonymised,anonymised,3.0.0-933.0
03/02/2023,anonymised,None,0,anonymised,03/02/2023 14:11,Sample3,Krios4,AFIS,HoleyCarbon,FALSE,297,1650,1.2,1.3,0.7,3,"['2806842', '2806845', '2806848', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,12,12,366,0,11567,11573,11573,4.33,0,65.57,12.6,0,89.52,16.92,0,155.09,ND,ND,ND,ND,11573,2.61,25,cryolo,170,240,160.902,516644,11549,444,289.044,45,32,0.12,0.09,,0.19,0.15,Y,Y,160.902,1,0.01,144.52,12.04,21,17,Y,Y,anonymised,anonymised,anonymised,3.0.0-1292.0
03/02/2023,anonymised,None,0,anonymised,04/02/2023 10:20,Sample4,Krios4,AFIS,HoleyCarbon,FALSE,297,1650,1.2,1.3,0.7,3,"['3298104', '3298107', '3298110', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,25,25,220,0,16455,16456,16456,2.91,0,71.34,10.91,0,59.28,13.82,0,101.09,ND,ND,ND,ND,16456,2.49,25,cryolo,170,220,158.453,266862,16286,406,264.306,17,16,0.05,0.04,,0.09,0.13,Y,Y,158.453,1,0.01,132.15,13.22,23,22,Y,Y,anonymised,anonymised,anonymised,3.0.0-939.0
03/02/2023,anonymised,None,0,anonymised,05/02/2023 10:22,Sample6,Krios4,AFIS,HoleyCarbon,TRUE,1,2,2,2,0.7,8,"['4432586', '4432521', '4432524', '4432527', '4432574', '4432512', '4432515', '4432518', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,8,8,251,0,14232,14239,6241,2.39,0,73.99,10.87,0,109.79,13.25,0,155.77,ND,ND,ND,ND,6241,2.34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,N,anonymised,anonymised,anonymised,3.0.0-733.0
06/02/2023,anonymised,None,0,anonymised,07/02/2023 14:59,Sample2,Krios4,AFIS,HoleyCarbon,TRUE,1,1,1.2,1.3,0.7,4,"['6380485', '6380492', '6380473', '6380444', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,4,4,136,0,2184,2185,2185,4.29,0,141.92,14.99,0,91.12,19.27,0,230.08,ND,ND,ND,ND,2185,2.63,25,cryolo,150,180,152.464,240961,2162,332,216.132,112,55,0.26,0.13,,0.26,0.13,Y,Y,152.464,1,0.01,72.04,6.75,20,22,Y,Y,anonymised,anonymised,anonymised,3.0.0-920.0
06/02/2023,anonymised,None,0,anonymised,09/02/2023 10:34,Sample2,Krios4,AFIS,HoleyCarbon,TRUE,1,1,1.2,1.3,0.7,3,"['8486137', '8486148', '8486118', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,5,5,174,0,1273,1275,1275,3.52,0,29.85,13.08,0,52.62,16.6,0,58.42,ND,ND,ND,ND,1275,2.71,25,cryolo,150,180,147.862,133212,1275,332,216.132,105,74,0.23,0.17,,0.28,0.14,Y,Y,147.862,1,0.01,72.04,6.75,18,20,Y,Y,anonymised,anonymised,anonymised,3.0.0-929.0
06/02/2023,anonymised,None,0,anonymised,09/02/2023 14:49,Sample2,Krios4,AFIS,HoleyCarbon,TRUE,1,1,1.2,1.3,0.7,5,"['8510741', '8510805', '8510753', '8510787', '8510731', 'autofocus']",anonymised,Tiff Lzw Non-Gain normalized,.tiff,anonymised,2,Y,0.651,5,5,48,0,1185,1187,1187,3.33,0,16.29,8.77,0,48.36,12.09,0,52.64,ND,ND,ND,ND,1187,2.23,25,cryolo,150,180,152.142,155797,1186,320,208.32,132,76,0.31,0.18,,0.31,0.13,Y,Y,152.142,1,0.01,208.32,6.51,17,21,Y,Y,anonymised,anonymised,anonymised,3.0.0-930.0
17/02/2023,anonymised,None,0,anonymised,17/02/2023 12:13,Sample5,Krios4,AFIS,HoleyCarbon,TRUE,0,1,2,2,1.3,4,"['16840843', '16840822', '16840767', '16840802', 'autofocus']",anonymised,Mrc Gain normalized,.mrc,anonymised,2,Y,1.06,60,60,103,0,24708,24708,24708,2.29,0.12,142.66,8.28,3.8,376.79,10.57,4.01,487.93,ND,ND,ND,ND,24708,2.43,25,cryolo,50,100,238.72,318434,24082,114,120.84,14,32,0.03,0.07,,0.09,0.16,Y,Y,238.72,1,0.01,30.21,5.04,12,10,Y,Y,anonymised,anonymised,anonymised,3.0.0-1298.0
17/02/2023,anonymised,None,0,anonymised,17/02/2023 16:19,Sample11,GlcsII,AFIS,HoleyCarbon,FALSE,0,65535,1.2,1.3,0,1,"['16751011', 'autofocus']",anonymised,Gain normalized,.mrc,anonymised,2,Y,1.192,6,6,547,0.1,3280,6567,3280,6.21,0.25,73.39,20.76,4.15,267.11,26.97,5.57,324.24,ND,ND,ND,ND,3280,3.39,25,cryolo,100,200,168.098,583531,3264,202,240.784,179,91,0.22,0.11,,0.29,0.15,Y,Y,168.098,1,0.01,120.39,15.05,28,30,N,N,anonymised,anonymised,anonymised,3.0.0-787.0
20/02/2023,anonymised,None,0,anonymised,21/02/2023 15:55,Sample8,GlcsII,AFIS,HoleyCarbon,FALSE,404,2663,1.2,1.3,0,1,"['20997657', 'autofocus']",anonymised,Gain normalized,.mrc,anonymised,3,Y,1.192,4,4,152,0,606,1215,607,2.99,0.55,11.53,9.66,4.01,24.92,12.65,4.92,30.9,ND,ND,ND,ND,607,3.93,25,cryolo,180,210,192.827,44924,607,256,305.152,75,90,0.12,0.14,,0.3,0.3,Y,Y,192.827,1,0.01,43.59,12.21,20,15,Y,Y,anonymised,anonymised,anonymised,3.0.0-645.0
